sample	treatment	treatCode	day	B	H	Bcorrected	Hcorrected
NTC				124	0	0	0
gc01	control	1	0	896	25500	772	25500
gc02	control	1	0	694	24920	570	24920
gc03	control	1	0	1960	34680	1836	34680
gc04	control	1	0	352	4260	228	4260
gc05	control	1	0	4260	36040	4136	36040
gc06	control	1	0	13240	37480	13116	37480
gc11	control	1	1	2080	32800	1956	32800
gc12	control	1	1	854	34140	730	34140
gc13	control	1	1	1024	23160	900	23160
gc14	control	1	1	3200	31320	3076	31320
gc15	control	1	1	1240	20440	1116	20440
gc16	control	1	1	1184	27840	1060	27840
gc31	control	1	3	4760	44100	4636	44100
gc32	control	1	3	9980	29880	9856	29880
gc33	control	1	3	1600	58800	1476	58800
gc34	control	1	3	1760	57400	1636	57400
gc35	control	1	3	2880	33500	2756	33500
gc36	control	1	3	1760	37840	1636	37840
gc71	control	1	7	6800	25860	6676	25860
gc72	control	1	7	5880	41840	5756	41840
gc73	control	1	7	3140	30980	3016	30980
gc74	control	1	7	1626	25220	1502	25220
gc75	control	1	7	994	38480	870	38480
gc76	control	1	7	1800	50800	1676	50800
gc141	control	1	14	3520	32800	3396	32800
gc142	control	1	14	10240	18900	10116	18900
gc143	control	1	14	10360	36100	10236	36100
gc144	control	1	14	32640	54600	32516	54600
gc145	control	1	14	1860	43440	1736	43440
gc146	control	1	14	2200	31120	2076	31120
gc211	control	1	21	10100	32640	9976	32640
gc212	control	1	21	29880	33720	29756	33720
gc213	control	1	21	20160	29820	20036	29820
gc214	control	1	21	5740	60600	5616	60600
gc215	control	1	21	15420	27660	15296	27660
gc216	control	1	21	3500	37440	3376	37440
gt01	treated	2	0	2780	30720	2656	30720
gt02	treated	2	0	676	19040	552	19040
gt03	treated	2	0	6060	30860	5936	30860
gt04	treated	2	0	560	22400	436	22400
gt05	treated	2	0	2800	17360	2676	17360
gt06	treated	2	0	526	23840	402	23840
gt11	treated	2	1	246	5540	122	5540
gt12	treated	2	1	444	38980	320	38980
gt13	treated	2	1	2240	37680	2116	37680
gt14	treated	2	1	696	28300	572	28300
gt15	treated	2	1	1456	29420	1332	29420
gt16	treated	2	1	588	27440	464	27440
gt31	treated	2	3	1194	24740	1070	24740
gt32	treated	2	3	1352	83600	1228	83600
gt33	treated	2	3	1743	33800	1619	33800
gt34	treated	2	3	686	39340	562	39340
gt35	treated	2	3	734	43620	610	43620
gt36	treated	2	3	1040	33180	916	33180
gt71	treated	2	7	336	31020	212	31020
gt72	treated	2	7	512	29680	388	29680
gt73	treated	2	7	184	25500	60	25500
gt74	treated	2	7	328	27340	204	27340
gt75	treated	2	7	750	40980	626	40980
gt76	treated	2	7	352	36100	228	36100
gt141	treated	2	14	334	26200	210	26200
gt142	treated	2	14	630	26160	506	26160
gt143	treated	2	14	450	51600	326	51600
gt144	treated	2	14	570	36220	446	36220
gt145	treated	2	14	404	35580	280	35580
gt146	treated	2	14	368	26660	244	26660
gt211	treated	2	21	230	20900	106	20900
gt212	treated	2	21	486	35900	362	35900
gt213	treated	2	21	1048	20720	924	20720
gt214	treated	2	21	234	26180	110	26180
gt215	treated	2	21	88	2840	-36	2840
gt216	treated	2	21	286	30680	162	30680
gca1	control	1		166	1244	166	1244
gca2	control	1		134	1680	134	1680
gca3	control	1		112	1660	112	1660
gta1	treated	2		98	3340	98	3340
gta2	treated	2		90	3300	90	3300
gta3	treated	2		60	3100	60	3100
