	b1Bleach1	b1Bleach2	b1Bleach3	b1Filtrate1	b1Filtrate2	b1Filtrate3	b1Retentate1	b1Retentate2	b1Retentate3
41d3b50265d542973e5d5ddba9a6d879	0	0	0	0	0	0	0	0	31
27e16af2b0096cb2b563b1e4b8fa0fe7	0	34	0	0	0	0	0	0	0
49fc41d6d2d9b9682cd3acaed49354c0	0	0	0	0	128	16	69	57	175
4f125bfb75b79700f21c5bef291334d0	58	0	36	0	0	0	0	0	0
517b46a57505ac5bfb80b29cb1580ea2	0	0	13	0	0	0	0	0	0
7e35de4c47d7a39212faf5ee00e51b9d	0	0	0	0	590	151	29	32	45
48d67beed258ec582dde196233fbfb39	0	16	26	0	0	0	0	10	0
3e4dbc68b7d2b977e16f6385711f74d8	0	0	0	0	0	0	34	40	6
27fbbd330e5251cd628201f6391c12a5	0	0	26	0	0	0	0	0	0
7572173b454c6aa8b1d7cc0b13e63865	0	0	0	0	30	0	0	0	133
512f87e351776cb396a6b82c412c2e30	0	0	0	0	0	0	0	5	0
5638ec4de4d4ea73f9585bbdab7cfad6	0	0	0	0	34	12	15	14	0
92983525de075827a3090f998ca2cfd2	0	0	0	0	0	0	0	2	0
bb53676dd6e6c2823387f87f20ea52e3	0	0	0	0	0	0	29	1	9
d8f6dfa6c688a167727a48e509c4b968	0	0	9	0	0	0	0	0	0
29e46e58fb0f3266074aa67229689c51	0	0	11	0	0	0	0	0	0
c62108c5b06ce895ce811d8018db4cef	0	0	0	0	8	0	0	0	0
a8b0c43a97beba8cacc5ac1cc9ddf535	0	0	0	15	6593	1908	438	422	309
f6b4bcf2631b590cd73cea6a64d07254	226	0	70	148	0	0	0	0	15
3fbfe49c7810378593d5c488e9c8bb6b	0	0	0	0	3682	988	133	163	133
6d74940ef9190fccf501134156ac7f98	0	0	0	0	0	0	8	0	0
962ddc66edda3b1b229d818c1c732b19	50	0	74	0	0	0	0	0	0
74fb31a67c27e79ae7343419adcbecf0	0	0	0	0	43	8	509	478	472
aa1938cb19a5bce1eaf209a30dadbb93	0	0	40	0	0	0	0	0	0
51ac645db6aeccfcc8c1885eae9a12ea	0	20	0	0	0	0	0	0	0
